contour1
2.02904e-07,0.0172736,0.0467165,0.0765611,0.0168335,0.0184476,0.0303209,0.0825611,0.0777721,0.00659415,0.0294488,0.0368466,0.0770426,2.02904e-07
3.65611e-08,0.0214955,0.0124737,0.125623,0.0367319,0.013848,0.0228166,0.0357295,0.0227201,0.0149591,0.0148387,0.0515396,0.0111307,0.0516762,0.0179017,0.0594802,0.0155738,0.052489,3.65611e-08
contour2
3.18508e-06,0.00697592,0.0144495,0.348345,0.196997,0.17594,0.0441953,0.0315344,0.132758,3.18508e-06,0.0023287,0.00465041,0.0107146,0.272673,0.189978,0.182959,0.132026,0.0881087,0.00633044,0.0663773
contour3
1.39005e-07,0.0852787,0.0690877,0.143029,0.0353735,1.3778e-07,0.0284261,0.0568524,0.0798817,0.0744847,0.0875721,0.106056,0.124545,0.107143,0.0712599,0.0235823,0.0117911
contour4
1.67761e-06,0.0153028,0.169706,0.033549,0.0402549,0.0723085,1.67761e-06,0.00382506,0.00764846,0.0114794,0.135665,0.101623,0.06759,0.0482645,0.0562817,0.0642913,0.0578487,0.0433888,0.0289214,0.0144615
