contour1
2.2358e-07,0.0592778,0.0446139,0.253077,0.079642,0.0957305,0.0679202,0.0130484,0.0220587,0.013216,0.0344394,0.0482413,0.244762,0.0585631,2.2358e-07
1.60271e-07,0.0761904,0.116855,0.105435,0.0904321,0.0297849,1.60271e-07,0.0253968,0.0507934
contour2
2.17426e-07,0.132593,0.0958479,0.142897,0.150647,0.210469,0.152267,0.160301,0.136985,0.157591,0.0563478,2.17516e-07,0.0662956,0.119371,0.146771,0.180558,0.147288,0.106969
