contour1
1.10792e-06,0.0121287,0.0228309,0.0116803,0.0318978,0.0041371,0.0692002,0.0221602,0.0558372,0.0263843,0.0480501,0.0577431,0.059554,0.0942966,0.0312651,0.196555,1.10792e-06
1.0091e-07,0.0163438,0.0257256,0.0172175,0.0330929,0.0461151,0.0127661,0.0483999,0.0511812,1.0091e-07
contour2
2.30595e-06,0.175709,0.0567575,0.0404548,0.0880572,2.30595e-06,0.0585698,0.117141,0.136057,0.0964091,0.0513232,0.045889,0.00832583,0.0238031,0.0559283,0.0440293
contour3
1.78338e-06,0.132403,0.00703406,0.123125,0.0678045,0.13653,0.120817,1.78281e-06,0.0441343,0.0882665,0.0363524,0.0797389,0.104685,0.0862448,0.131292,0.126055,0.080544,0.0402748
contour4
-nan
1.18012e-05,0.0162211,0.0207226,1.18012e-05,0.00323631,0.00648442,0.00972491,0.012973,0.00883238,0.00144362,0.00594513,0.0133339,0.185249,0.349784,0.51431
