contour1
6.82134e-06,0.185944,0.293494,0.3191,0.219753,0.189652,0.150921,0.163834,-0.048063,6.82134e-06,0.0929765,0.23972,0.306297,0.269426,0.204703,0.170286,0.157378,0.0578863,-0.0240281
contour2
contour3
5.94918e-06,-0.111821,0.129327,0.031483,-0.0874392,5.94918e-06,-0.0279488,-0.0559112,-0.083866,0.104862,0.0804052,0.0559403,0.00175439,-0.0279819,-0.0577105
contour4
