contour1
3.47787e-07,0.0884052,0.104359,0.165536,0.167905,0.1904,0.180215,0.202725,0.2522,0.267554,0.307154,0.289949,0.325776,0.331396,0.325191,0.337208,0.349466,0.376202,0.431498,0.419932,0.429706,0.445208,0.72388,0.724425,0.661122,0.601328,0.537646,0.5279,0.534647,0.533706,0.524063,0.538172,0.521922,0.508592,0.497695,0.539846,0.535582,0.476177,0.4826,0.467719,0.436157,0.225187,0.198704,3.67898e-07
contour2
2.39232e-07,0.00112795,0.0176806,0.0414043,0.104104,0.0947793,2.39232e-07
7.15636e-07,0.0585807,0.0892225,0.0386509,0.0439497,0.114014,0.119584,0.151219,0.212333,0.174668,0.188636,0.184341,0.200661,0.165802,0.136454,0.126951,0.0542171,7.15636e-07
contour3
7.00361e-07,0.00284045,0.0918447,0.175526,0.242121,0.275791,0.327784,0.313927,0.339723,0.348975,0.3698,0.0138484,0.342427,0.24973,7.00361e-07,0.208824,0.301789,0.326825,0.359387
contour4
1.16879e-06,0.245535,0.284639,0.294874,0.243234,0.218599,0.170279,0.0971025,0.175089,0.0709245,1.16879e-06,0.122768,0.265087,0.289756,0.269053,0.230916,0.194439
