contour1
-6.78346e-08,0.000903034,-0.0330293,0.00168541,0.00481248,0.0169172,-0.01425,0.0772592,0.126355,0.000381513,-0.00460161,0.0203219,-0.0472381,-0.00213595,0.00866374,0.00400753,0.00394247,0.0170304,-0.0126658,0.0139601,0.0010229,0.0114026,-0.0118432,-6.78346e-08
-1.00724e-06,0.156838,0.187226,0.262091,0.295311,0.314655,0.281583,0.247274,0.249975,0.169502,0.196805,0.155114,0.0810564,0.0350478,-1.00724e-06
contour2
9.71959e-07,-0.0442602,0.115655,0.0556074,0.0715796,0.172213,0.171042,0.166066,0.102305,0.102324,0.071803,0.0676973,0.0524085,-0.00488972,0.0499748,9.71959e-07
9.62377e-07,0.0143223,0.0119258,0.0117925,0.0191304,0.0320903,0.0240846,0.0132603,0.0453044,0.0310433,0.0229385,0.0211785,0.00170626,9.62377e-07
contour3
1.13383e-06,0.31688,0.316136,0.258234,0.195854,0.134033,1.13383e-06,0.105626,0.211255,0.316631,0.316385,0.296834,0.277536,0.237442,0.216646,0.175248,0.154638,0.0893555,0.0446782
