Stamp,global vel x [m/s],global vel y [m/s],velocity [km/h]
0.0,-0.1612,-13.4203,48.31656517581522
0.09999728202819824,-0.5367,-18.8292,67.81265059787002
0.1999971866607666,-0.9108,-23.5583,84.87323959687647
0.1999971866607666,-1.3918,-21.3165,76.90279853289087
0.3000171184539795,-2.1151,-26.6923,96.39348916710091
0.40000176429748535,-2.7797,-26.103,94.50211479393676
0.5000112056732178,-3.2966,-25.8966,93.98009875518964
0.5999960899353027,-3.7992,-25.531,92.92365590125262
0.6899986267089844,-4.3032,-24.7871,90.56829148318964
0.790114164352417,-4.9523,-25.1837,92.39763260982828
0.8900651931762695,-5.6761,-24.9884,92.24983287344861
0.9900014400482178,-6.243,-24.7738,91.97392104342623
1.0900006294250488,-6.8458,-24.8147,92.6700636988062
1.1900708675384521,-7.1371,-23.9494,89.96485402499802
1.290022611618042,-8.0451,-24.5625,93.04729400562705
1.390000820159912,-8.6126,-24.3722,93.05711101434431
1.4900140762329102,-9.2081,-23.9906,92.50935305065754
1.590001106262207,-9.9525,-23.8907,93.17101868880903
1.689997673034668,-10.6303,-23.5613,93.054125323431
1.78999924659729,-11.1374,-23.2145,92.69246339141927
1.8899996280670166,-11.9225,-22.9999,93.26302925130409
1.9900012016296387,-12.6555,-22.7536,93.73061608674938
2.0900235176086426,-13.321,-22.3454,93.6530117529255
2.190000534057617,-13.9441,-22.1237,94.14506096147583
2.29000186920166,-14.3397,-21.504,93.04791881974793
2.390000820159912,-14.8568,-21.3643,93.68012252693096
2.4900002479553223,-15.1286,-20.6742,92.22586515428304
2.590066909790039,-15.9366,-20.5838,93.71540868139027
2.6900994777679443,-15.9366,-20.5838,93.71540868139027
2.7900383472442627,-16.8556,-19.8594,93.77340228215675
2.8900015354156494,-17.2734,-19.4558,93.66218327346421
2.9900054931640625,-18.0449,-18.9034,94.08040200013605
3.0999982357025146,-17.8751,-17.5498,90.18087520892665
3.190002202987671,-19.3077,-17.8847,94.7456651409699
3.2900028228759766,-19.4254,-17.4812,94.07913265467535
3.390000343322754,-19.5334,-16.883,92.94621392556881
3.490002393722534,-20.302,-16.4238,94.0084296183188
3.589996576309204,-21.2364,-15.6429,94.95302875419614
3.6900131702423096,-21.7967,-15.0704,95.3974926723339
3.7899997234344482,-21.1309,-14.2519,91.75633703414277
3.890011787414551,-22.4469,-14.0862,95.40233318241226
3.9900124073028564,-22.6961,-13.4094,94.90114608300156
4.089998245239258,-22.7275,-12.7737,93.85626466306019
4.189998626708984,-23.3128,-12.5111,95.24801783222577
4.289999961853027,-23.4412,-11.7577,94.40881544019499
4.390000104904175,-23.6826,-11.0313,94.05272131603637
4.489999532699585,-24.0973,-10.333,94.38941572823937
4.590000867843628,-23.6619,-9.3417,91.58111815041352
4.68999981880188,-24.7415,-9.3546,95.22325718958368
4.790000915527344,-24.877,-8.6816,94.85404359318373
4.890001058578491,-25.489,-7.9829,96.15544156101413
4.990000009536743,-24.6814,-7.1996,92.5561152475362
5.090001821517944,-25.5822,-7.0705,95.54870179697053
5.189999580383301,-25.5177,-6.0896,94.44332527601938
5.290002107620239,-25.132,-5.5295,92.63918508644169
5.390004396438599,-26.1911,-4.7765,95.84310711846521
5.489997148513794,-25.9709,-3.808,94.49492631934055
5.589996814727783,-25.9433,-2.7774,93.92956511569719
5.689998388290405,-26.6954,-2.3956,96.48962283862032
5.7900550365448,-26.3521,-1.4126,95.00376217120667
5.890000581741333,-25.0362,-1.16,90.22701125107936
5.989997148513794,-26.5587,-0.5516,95.63193898964929
