id,Stamp,x_global,y_global,vx_global,vy_global,v
1,9.600015878677368,3893.1752,2435.0354,-4.0225,8.539,33.98045840126351
1,9.710026264190674,3892.5581,2436.121,-5.0505,9.8816,39.950847948167514
1,9.820007085800171,3892.1041,2437.1264,-4.6205,9.5247,38.11054102484508
1,9.910011291503906,3891.6699,2437.926,-4.4568,8.818,35.569054886381224
1,10.00001072883606,3891.2701,2438.7172,-4.4568,8.818,35.569054886381224
1,10.110008716583252,3890.8404,2439.5673,-4.4568,8.818,35.569054886381224
1,10.210013628005981,3890.3555,2440.5267,-4.4568,8.818,35.569054886381224
1,10.300009489059448,3889.8118,2441.4969,-4.5045,8.6752,35.18981406825561
1,10.420015573501587,3889.1434,2442.7812,-5.6777,10.9234,44.31904788300399
1,10.510018825531006,3888.6418,2443.6001,-5.0986,9.188,37.82828643808228
1,10.610025405883789,3888.187,2444.4196,-5.0986,9.188,37.82828643808228
1,10.710036993026733,3887.6521,2445.3835,-5.0986,9.188,37.82828643808228
1,10.800026655197144,3887.1687,2446.2547,-5.0986,9.188,37.82828643808228
1,10.899996995925903,3886.5571,2447.1966,-5.3756,9.3147,38.71644121548364
1,11.000002145767212,3885.96,2448.2211,-5.696,9.8268,40.88979051732107
1,11.10002088546753,3885.4329,2449.1073,-5.3256,9.0934,37.93722615589074
1,11.210026025772095,3884.7965,2450.2769,-5.7572,10.1488,42.004995808936826
1,11.300015449523926,3884.2027,2451.0829,-5.6725,9.0488,38.44726477218373
1,11.40000867843628,3883.6076,2452.0828,-5.8828,9.5751,40.456356620635034
1,11.500014066696167,3883.0022,2453.0511,-5.919,9.5673,40.500846437554856
1,11.600007057189941,3882.3382,2454.1161,-6.2279,10.0341,42.51505521354994
1,11.710036754608154,3881.619,2455.2864,-6.7069,10.8506,45.921951640704464
1,11.810006141662598,3880.9002,2456.2983,-6.1912,9.4061,40.53888927269715
1,11.900051832199097,3880.2899,2457.2408,-6.5877,10.0592,43.2877053590601
1,12.01001501083374,3879.5512,2458.4052,-7.182,11.1083,47.62018342524942
1,12.100016355514526,3878.8858,2459.3989,-6.4136,9.7734,42.08361698166165
1,12.209970474243164,3878.1847,2460.486,-6.9483,10.6551,45.79364556948922
1,12.30001425743103,3877.5548,2461.415,-6.7493,10.2028,44.03937228386436
1,12.400005340576172,3876.8377,2462.5089,-7.1775,10.8882,46.94783802424133
1,12.520028829574585,3875.9992,2463.7619,-7.075,10.6547,46.0431776910152
1,12.600014686584473,3875.4053,2464.6722,-6.2406,9.4589,40.79546265587878
1,12.700016736984253,3874.6607,2465.7355,-7.242,10.7732,46.73188304605754
2,12.800021886825562,3835.743,2506.244,-2.9728,3.1048,15.474692388697102
1,12.800021886825562,3873.9049,2466.808,-6.8385,9.9546,43.477977167683406
2,12.90001630783081,3835.3195,2506.4987,-3.4043,3.1156,16.613218688020694
1,12.90001630783081,3873.1936,2467.8759,-7.3956,10.88,47.36008994613081
2,13.000014066696167,3834.6137,2507.0941,-4.3727,3.8634,21.005734656421804
1,13.000014066696167,3872.4352,2468.8917,-7.3331,10.3798,45.751822513469335
2,13.110000610351562,3834.1439,2507.6829,-4.4907,4.4141,22.668758728435048
1,13.110000610351562,3871.6025,2470.0707,-7.7699,10.9992,48.48035227372013
2,13.200003385543823,3833.6893,2508.2612,-4.387,4.6489,23.01130594124549
1,13.200003385543823,3870.9382,2470.9783,-6.9995,9.7775,43.28878473969903
2,13.30000638961792,3833.1623,2508.7214,-4.5973,4.6102,23.438491479547057
1,13.30000638961792,3870.1835,2472.0801,-7.1491,10.1681,44.747274262497825
2,13.400021076202393,3832.4963,2509.2425,-5.2418,4.8958,25.821142702150116
1,13.400021076202393,3869.4077,2473.1865,-7.7014,10.9642,48.23533100390211
2,13.510042428970337,3831.7527,2509.515,-5.7992,4.3266,26.047234768243634
1,13.510042428970337,3868.5648,2474.3274,-7.9758,11.1174,49.25688977659876
2,13.610003471374512,3831.4493,2510.6699,-4.6533,5.8831,27.003375748968867
1,13.610003471374512,3867.7653,2475.3922,-7.0796,9.6685,43.14005266795116
2,13.720008373260498,3830.7847,2510.8937,-5.2737,5.1929,26.644407713739856
1,13.720008373260498,3866.9108,2476.5093,-7.9255,10.6533,47.800944664037765
2,13.820032358169556,3830.3407,2511.5434,-5.1037,5.4805,26.96004257901682
1,13.820032358169556,3866.0801,2477.5675,-8.0404,10.5775,47.8314617986279
2,13.9100182056427,3829.6718,2511.9217,-5.547,5.0066,26.900276451694694
1,13.9100182056427,3865.3948,2478.4378,-7.6089,9.889,44.918952965553416
2,14.020039796829224,3829.2186,2512.535,-5.3874,5.3116,27.2358911406842
1,14.020039796829224,3864.4615,2479.606,-8.3864,10.7259,49.01511195110341
