Stamp,global vel x [m/s],global vel y [m/s],velocity [km/h]
0.0,0.0592,-15.6171,56.221963937308345
0.0999903678894043,-0.3371,-22.0361,79.33924175006464
0.19998764991760254,-0.3371,-22.0361,79.33924175006464
0.28998684883117676,-1.235,-31.6186,113.91375570510175
0.3899877071380615,-2.3614,-28.3727,102.49487131383697
0.49999213218688965,-2.7574,-28.3199,102.43375947596184
0.6000015735626221,-3.6679,-27.0135,98.14095698368546
0.6899874210357666,-3.9596,-26.3338,95.86736155551586
0.7899889945983887,-5.3392,-26.1218,95.98274415104416
0.8901045322418213,-5.5418,-25.626,94.3861661748712
0.9900555610656738,-6.1209,-25.9329,95.92366820076889
1.089991807937622,-6.5004,-25.0256,93.08181716930112
1.1899909973144531,-7.2834,-24.8278,93.14665687218194
1.3000426292419434,-8.2828,-25.3415,95.97875452018744
1.3900129795074463,-8.2831,-24.3515,92.59808129905069
1.4899911880493164,-8.6388,-23.8311,91.25486560586235
1.5900044441223145,-9.7403,-24.153,93.75500763184013
1.6899914741516113,-10.4277,-24.1,94.53321203512765
1.7899880409240723,-10.876,-23.0069,91.61309138974408
1.8899896144866943,-11.768,-23.0925,93.30526227410756
1.989989995956421,-12.4403,-22.9357,93.93223028118092
2.089991569519043,-12.9595,-22.7368,94.2148760005043
2.2000045776367188,-13.9461,-22.4429,95.12297280066052
2.2899909019470215,-14.2163,-21.8471,93.83501784907382
2.3899922370910645,-14.3396,-21.404,92.74841917959357
2.4899911880493164,-15.2658,-21.1048,93.76996179765032
2.5899906158447266,-15.8365,-20.8234,94.18034300605196
2.6900572776794434,-16.1962,-20.2117,93.24136988931899
2.800060510635376,-16.6625,-20.0275,93.78947716028702
2.890028715133667,-16.8756,-19.5322,92.92552690252556
2.9899919033050537,-18.3967,-19.4558,96.39444356345858
3.089995861053467,-18.4154,-18.4982,93.96692115198837
3.199988603591919,-19.1259,-18.2492,95.16764279308383
3.299992322921753,-19.8317,-17.696,95.68450157645387
3.389993190765381,-19.5438,-17.1029,93.49396887915285
3.489990711212158,-19.9857,-16.6021,93.53475695453535
3.5899927616119385,-21.112,-16.0152,95.3968193836587
3.6899869441986084,-21.3599,-15.1484,94.27047673257624
3.790003538131714,-21.7342,-14.4853,94.02820736279514
3.8899900913238525,-21.8308,-14.1778,93.71027790792641
3.990002155303955,-23.0468,-13.9499,96.98340536009242
4.090002775192261,-22.7315,-13.0835,94.42018786213042
4.189988613128662,-23.0627,-12.7011,94.78370482102923
4.289988994598389,-23.5013,-12.1975,95.32118232010345
4.389990329742432,-23.2583,-11.1681,92.88244018887531
4.499991178512573,-24.674,-11.1068,97.41092329831599
4.589989900588989,-24.0109,-10.0994,93.77438211602997
4.689991235733032,-24.5666,-9.3251,94.59682985907722
4.789990186691284,-24.9316,-8.7996,95.1801901543131
4.889991283416748,-24.9485,-8.0814,94.40904273215358
4.9899914264678955,-25.2277,-7.5146,94.76319192298241
5.099987745285034,-26.1801,-6.8033,97.37867091218692
5.189992189407349,-25.5989,-6.2974,94.90360175721045
5.289989948272705,-25.7075,-5.707,94.80006567529371
5.3899924755096436,-25.954,-4.8455,95.04879411018322
